participant_id,timestamp,round,stimulus_id,stimulus_type,stimulus_notes,ground_truth,answer,correct,confidence,response_time_seconds
P01,2026-08-30T15:35:41+00:00,1,video1,single_video,authentic,No,Yes (AI-generated),False,4,19.84
P01,2026-08-30T15:36:23+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),Yes (AI-generated),True,2,42.81
P01,2026-08-30T15:36:45+00:00,3,video3,single_video,authentic,No,No,True,5,22.11
P01,2026-08-30T15:36:58+00:00,4,video4,single_video,authentic,No,No,True,4,12.4
P01,2026-08-30T15:37:20+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),No,False,4,21.97
P01,2026-08-30T15:37:45+00:00,6,video6,single_video,edited_non_ai,No,No,True,1,24.83
P01,2026-08-30T15:38:36+00:00,7,pair1,pair_video,left_ai_right_real,Left,Left,True,2,50.95
P01,2026-08-30T15:39:08+00:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,2,32.16
P01,2026-08-30T15:39:50+00:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,1,42.46
P01,2026-08-30T15:40:24+00:00,0,post_quiz,post_quiz,,,"{""skepticism"": 4, ""skepticism_label"": ""Agree"", ""trust_harder"": 4, ""trust_harder_label"": ""Agree""}",,0,0.0
P02,2026-08-30T16:15:23+00:00,1,video1,single_video,authentic,No,No,True,4,41.08
P02,2026-08-30T16:15:44+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),No,False,4,20.95
P02,2026-08-30T16:16:07+00:00,3,video3,single_video,authentic,No,No,True,3,22.92
P02,2026-08-30T16:16:30+00:00,4,video4,single_video,authentic,No,No,True,4,22.78
P02,2026-08-30T16:17:01+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),No,False,4,31.11
P02,2026-08-30T16:17:23+00:00,6,video6,single_video,edited_non_ai,No,Yes (AI-generated),False,5,21.88
P02,2026-08-30T16:17:50+00:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,3,27.47
P02,2026-08-30T16:18:16+00:00,8,pair2,pair_video,left_real_right_ai,Right,Left,False,3,25.82
P02,2026-08-30T16:19:29+00:00,9,delft,pair_image,left_real_right_ai,Right,Not sure,False,3,72.82
P02,2026-08-30T16:19:46+00:00,0,post_quiz,post_quiz,,,"{""skepticism"": 5, ""skepticism_label"": ""Strongly agree"", ""trust_harder"": 4, ""trust_harder_label"": ""Agree""}",,0,0.0
P03,2026-08-30T16:16:06+00:00,1,video1,single_video,authentic,No,No,True,4,36.24
P03,2026-08-30T16:16:40+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),No,False,3,34.0
P03,2026-08-30T16:17:01+00:00,3,video3,single_video,authentic,No,No,True,3,21.12
P03,2026-08-30T16:17:23+00:00,4,video4,single_video,authentic,No,No,True,3,21.87
P03,2026-08-30T16:17:41+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),Yes (AI-generated),True,3,18.1
P03,2026-08-30T16:18:01+00:00,6,video6,single_video,edited_non_ai,No,Yes (AI-generated),False,3,19.71
P03,2026-08-30T16:18:24+00:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,3,23.27
P03,2026-08-30T16:18:47+00:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,5,22.88
P03,2026-08-30T16:19:54+00:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,67.18
P03,2026-08-30T16:20:16+00:00,0,post_quiz,post_quiz,,,"{""skepticism"": 5, ""skepticism_label"": ""Strongly agree"", ""trust_harder"": 4, ""trust_harder_label"": ""Agree""}",,0,0.0
P04,2026-08-30T16:17:28+00:00,1,video1,single_video,authentic,No,No,True,5,33.3
P04,2026-08-30T16:17:53+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),No,False,4,25.35
P04,2026-08-30T16:18:15+00:00,3,video3,single_video,authentic,No,No,True,5,21.55
P04,2026-08-30T16:18:30+00:00,4,video4,single_video,authentic,No,No,True,5,15.04
P04,2026-08-30T16:18:47+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),No,False,5,17.08
P04,2026-08-30T16:19:18+00:00,6,video6,single_video,edited_non_ai,No,No,True,5,30.69
P04,2026-08-30T16:19:34+00:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,5,15.97
P04,2026-08-30T16:20:24+00:00,8,pair2,pair_video,left_real_right_ai,Right,Not sure,False,1,50.28
P04,2026-08-30T16:20:50+00:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,5,25.55
P04,2026-08-30T16:20:59+00:00,0,post_quiz,post_quiz,,,"{""skepticism"": 5, ""skepticism_label"": ""Strongly agree"", ""trust_harder"": 5, ""trust_harder_label"": ""Strongly agree""}",,0,0.0
P05,2026-08-30T16:20:50+00:00,1,video1,single_video,authentic,No,No,True,2,6.83
P05,2026-08-30T16:20:57+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),Yes (AI-generated),True,1,7.05
P05,2026-08-30T16:21:02+00:00,3,video3,single_video,authentic,No,No,True,4,5.05
P05,2026-08-30T16:21:07+00:00,4,video4,single_video,authentic,No,Yes (AI-generated),False,2,4.39
P05,2026-08-30T16:21:18+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),Yes (AI-generated),True,2,11.04
P05,2026-08-30T16:21:27+00:00,6,video6,single_video,edited_non_ai,No,Yes (AI-generated),False,2,9.03
P05,2026-08-30T16:21:38+00:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,3,11.08
P05,2026-08-30T16:21:45+00:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,6.95
P05,2026-08-30T16:21:52+00:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,6.74
P05,2026-08-30T16:22:34+00:00,0,post_quiz,post_quiz,,,"{""skepticism"": 5, ""skepticism_label"": ""Strongly agree"", ""trust_harder"": 5, ""trust_harder_label"": ""Strongly agree""}",,0,0.0
P06,2026-08-30T16:21:32+00:00,1,video1,single_video,authentic,No,Yes (AI-generated),False,3,37.36
P06,2026-08-30T16:22:44+00:00,2,video2,single_video,ai_generated,Yes (AI-generated),Not sure,False,3,71.95
P06,2026-08-30T16:23:04+00:00,3,video3,single_video,authentic,No,No,True,4,19.7
P06,2026-08-30T16:23:17+00:00,4,video4,single_video,authentic,No,No,True,5,13.17
P06,2026-08-30T16:23:45+00:00,5,video5,single_video,ai_generated,Yes (AI-generated),Yes (AI-generated),True,5,28.44
P06,2026-08-30T16:24:16+00:00,6,video6,single_video,edited_non_ai,No,No,True,5,30.7
P06,2026-08-30T16:25:04+00:00,7,pair1,pair_video,left_ai_right_real,Left,Not sure,False,3,48.23
