participant_name,participant_id,timestamp,round,stimulus_id,stimulus_type,stimulus_notes,ground_truth,answer,correct,confidence,response_time_seconds
deneme,044269ba,2026-08-27T15:57:01+02:00,1,video1,single_video,authentic,Real,Real,True,3,31.45
deneme,044269ba,2026-08-27T15:57:23+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,5,21.88
deneme,044269ba,2026-08-27T15:57:40+02:00,3,video3,single_video,authentic,Real,Real,True,5,17.04
deneme,044269ba,2026-08-27T15:57:50+02:00,4,video4,single_video,authentic,Real,Real,True,3,10.73
deneme,044269ba,2026-08-27T15:58:01+02:00,5,video5,single_video,ai_generated,AI-generated,AI-generated,True,3,11.05
deneme,044269ba,2026-08-27T15:58:21+02:00,6,video6,single_video,edited_non_ai,Real,AI-generated,False,3,19.8
deneme,044269ba,2026-08-27T15:58:42+02:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,5,20.45
deneme,044269ba,2026-08-27T15:58:59+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,17.75
deneme,044269ba,2026-08-27T15:59:11+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,11.28
trial,3e20027d,2026-08-27T16:15:18+02:00,1,video1,single_video,authentic,Real,Real,True,3,8.72
trial,3e20027d,2026-08-27T16:15:29+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,10.56
trial,3e20027d,2026-08-27T16:15:37+02:00,3,video3,single_video,authentic,Real,Not sure,False,3,8.48
trial,3e20027d,2026-08-27T16:15:41+02:00,4,video4,single_video,authentic,Real,Not sure,False,3,3.51
trial,3e20027d,2026-08-27T16:15:42+02:00,5,video5,single_video,ai_generated,AI-generated,Not sure,False,3,1.48
trial,3e20027d,2026-08-27T16:15:44+02:00,6,video6,single_video,edited_non_ai,Real,Not sure,False,3,1.27
trial,3e20027d,2026-08-27T16:15:46+02:00,7,pair1,pair_video,left_ai_right_real,Left,Not sure,False,3,2.49
trial,3e20027d,2026-08-27T16:15:52+02:00,8,pair2,pair_video,left_real_right_ai,Right,Not sure,False,3,5.74
trial,3e20027d,2026-08-27T16:15:54+02:00,9,delft,pair_image,left_real_right_ai,Right,Not sure,False,3,2.36
umut,173cb5ec,2026-08-27T16:21:52+02:00,1,video1,single_video,authentic,Real,Real,True,3,21.02
umut,173cb5ec,2026-08-27T16:22:11+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,19.05
umut,173cb5ec,2026-08-27T16:22:27+02:00,3,video3,single_video,authentic,Real,Real,True,3,15.59
umut,173cb5ec,2026-08-27T16:22:36+02:00,4,video4,single_video,authentic,Real,Real,True,3,9.23
umut,173cb5ec,2026-08-27T16:22:46+02:00,5,video5,single_video,ai_generated,AI-generated,AI-generated,True,3,10.07
umut,173cb5ec,2026-08-27T16:23:12+02:00,6,video6,single_video,edited_non_ai,Real,AI-generated,False,3,25.82
umut,173cb5ec,2026-08-27T16:23:31+02:00,7,pair1,pair_video,left_ai_right_real,Left,Left,True,3,18.84
umut,173cb5ec,2026-08-27T16:23:40+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,9.11
umut,173cb5ec,2026-08-27T16:23:52+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,12.53
trial,8097772a,2026-08-27T16:30:04+02:00,1,video1,single_video,authentic,Real,AI-generated,False,3,2.64
trial,8097772a,2026-08-27T16:30:06+02:00,2,video2,single_video,ai_generated,AI-generated,Real,False,3,1.34
trial,8097772a,2026-08-27T16:30:07+02:00,3,video3,single_video,authentic,Real,Not sure,False,3,1.26
trial,8097772a,2026-08-27T16:30:10+02:00,4,video4,single_video,authentic,Real,Not sure,False,3,3.13
trial,8097772a,2026-08-27T16:30:12+02:00,5,video5,single_video,ai_generated,AI-generated,Not sure,False,3,1.45
trial,8097772a,2026-08-27T16:30:13+02:00,6,video6,single_video,edited_non_ai,Real,AI-generated,False,3,1.7
trial,8097772a,2026-08-27T16:30:17+02:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,3,3.3
trial,8097772a,2026-08-27T16:30:19+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,2.57
trial,8097772a,2026-08-27T16:30:29+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,9.77
deneme,d934042b,2026-08-27T16:36:28+02:00,1,video1,single_video,authentic,Real,Not sure,False,3,14.46
deneme,d934042b,2026-08-27T16:36:36+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,7.47
deneme,d934042b,2026-08-27T16:36:44+02:00,3,video3,single_video,authentic,Real,Not sure,False,3,7.82
deneme,d934042b,2026-08-27T16:36:52+02:00,4,video4,single_video,authentic,Real,AI-generated,False,3,8.09
deneme,d934042b,2026-08-27T16:36:59+02:00,5,video5,single_video,ai_generated,AI-generated,AI-generated,True,3,7.41
deneme,d934042b,2026-08-27T16:37:08+02:00,6,video6,single_video,edited_non_ai,Real,AI-generated,False,3,8.64
deneme,d934042b,2026-08-27T16:37:11+02:00,7,pair1,pair_video,left_ai_right_real,Left,Left,True,3,3.29
deneme,d934042b,2026-08-27T16:37:16+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,4.81
deneme,d934042b,2026-08-27T16:37:27+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,10.88
trial,3a5752d6,2026-08-28T13:51:29+02:00,1,video1,single_video,authentic,Real,AI-generated,False,2,23.16
trial,3a5752d6,2026-08-28T13:53:39+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,129.92
trial,3a5752d6,2026-08-28T13:53:41+02:00,3,video3,single_video,authentic,Real,AI-generated,False,3,1.73
trial,3a5752d6,2026-08-28T13:53:42+02:00,4,video4,single_video,authentic,Real,Not sure,False,3,1.46
trial,3a5752d6,2026-08-28T13:53:43+02:00,5,video5,single_video,ai_generated,AI-generated,Not sure,False,3,1.11
trial,3a5752d6,2026-08-28T13:53:47+02:00,6,video6,single_video,edited_non_ai,Real,Real,True,3,3.82
trial,3a5752d6,2026-08-28T13:53:57+02:00,7,pair1,pair_video,left_ai_right_real,Left,Not sure,False,3,9.98
trial,3a5752d6,2026-08-28T13:54:07+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,9.29
trial,3a5752d6,2026-08-28T13:54:23+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,16.65
trial,39977eab,2026-08-28T14:03:32+02:00,1,video1,single_video,authentic,Real,Real,True,5,4.37
trial,39977eab,2026-08-28T14:03:36+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,3.76
trial,39977eab,2026-08-28T14:03:37+02:00,3,video3,single_video,authentic,Real,AI-generated,False,3,1.62
trial,39977eab,2026-08-28T14:03:39+02:00,4,video4,single_video,authentic,Real,Real,True,3,1.31
trial,39977eab,2026-08-28T14:03:40+02:00,5,video5,single_video,ai_generated,AI-generated,Not sure,False,3,1.2
trial,39977eab,2026-08-28T14:03:43+02:00,6,video6,single_video,edited_non_ai,Real,Not sure,False,3,2.94
trial,39977eab,2026-08-28T14:03:45+02:00,7,pair1,pair_video,left_ai_right_real,Left,Right,False,3,1.96
trial,39977eab,2026-08-28T14:03:47+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,3,1.87
trial,39977eab,2026-08-28T14:03:52+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,4,5.65
trial,39977eab,2026-08-28T14:04:25+02:00,0,post_quiz,post_quiz,,,"{""skepticism"": 4, ""trust_harder"": 1}",,0,0
deneme2,73164087,2026-08-28T14:09:50+02:00,0,post_quiz,post_quiz,,,"{""skepticism"": 5, ""trust_harder"": 1}",,0,0
deneme2,73164087,2026-08-28T14:09:17+02:00,1,video1,single_video,authentic,Real,Real,True,5,3.34
deneme2,73164087,2026-08-28T14:09:19+02:00,2,video2,single_video,ai_generated,AI-generated,AI-generated,True,3,1.18
deneme2,73164087,2026-08-28T14:09:23+02:00,3,video3,single_video,authentic,Real,Not sure,False,4,4.49
deneme2,73164087,2026-08-28T14:09:25+02:00,4,video4,single_video,authentic,Real,Not sure,False,5,2.15
deneme2,73164087,2026-08-28T14:09:26+02:00,5,video5,single_video,ai_generated,AI-generated,Real,False,3,1.25
deneme2,73164087,2026-08-28T14:09:29+02:00,6,video6,single_video,edited_non_ai,Real,AI-generated,False,5,2.06
deneme2,73164087,2026-08-28T14:09:30+02:00,7,pair1,pair_video,left_ai_right_real,Left,Left,True,3,1.5
deneme2,73164087,2026-08-28T14:09:32+02:00,8,pair2,pair_video,left_real_right_ai,Right,Right,True,5,1.86
deneme2,73164087,2026-08-28T14:09:35+02:00,9,delft,pair_image,left_real_right_ai,Right,Right,True,3,2.62
